2026-06-08 17:01:01 | INFO | Epoch 1 | batch 600/1829 | loss=1.7087 | giou=0.6767 | bbox=0.1503 | ce=0.1025 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=458 | aux_mask=585 | pos=145 | targets=145 | pre_nms=458 | post_nms=97 | post_verify=97 | thr=0.200 | centerness=[-1.669, -0.742] | train_seen=1200
2026-06-08 17:03:22 | INFO | Epoch 1 | batch 650/1829 | loss=1.0617 | giou=0.4527 | bbox=0.0674 | ce=0.0445 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=769 | aux_mask=617 | pos=52 | targets=52 | pre_nms=769 | post_nms=166 | post_verify=166 | thr=0.206 | centerness=[-1.433, -0.310] | train_seen=1300
2026-06-08 17:05:43 | INFO | Epoch 1 | batch 700/1829 | loss=1.8494 | giou=0.7754 | bbox=0.0929 | ce=0.0460 | aux_giou=0.0530 | aux_bbox=0.0036 | aux_ce=0.0021 | mask=452 | aux_mask=473 | pos=22 | targets=22 | pre_nms=452 | post_nms=157 | post_verify=157 | thr=0.206 | centerness=[-1.350, -0.349] | train_seen=1400
2026-06-08 17:08:04 | INFO | Epoch 1 | batch 750/1829 | loss=1.2422 | giou=0.5119 | bbox=0.0487 | ce=0.0849 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=458 | aux_mask=647 | pos=207 | targets=207 | pre_nms=433 | post_nms=291 | post_verify=291 | thr=0.245 | centerness=[-1.240, -0.034] | train_seen=1500
2026-06-08 17:10:25 | INFO | Epoch 1 | batch 800/1829 | loss=0.6931 | giou=0.3124 | bbox=0.0394 | ce=0.0145 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1699 | aux_mask=1625 | pos=20 | targets=20 | pre_nms=1699 | post_nms=289 | post_verify=289 | thr=0.200 | centerness=[-1.582, -0.832] | train_seen=1600
2026-06-08 17:12:46 | INFO | Epoch 1 | batch 850/1829 | loss=0.8518 | giou=0.3454 | bbox=0.0517 | ce=0.0547 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=405 | aux_mask=548 | pos=48 | targets=48 | pre_nms=405 | post_nms=135 | post_verify=135 | thr=0.218 | centerness=[-1.333, -0.119] | train_seen=1700
2026-06-08 17:15:06 | INFO | Epoch 1 | batch 900/1829 | loss=1.3467 | giou=0.5516 | bbox=0.1243 | ce=0.0596 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=538 | aux_mask=690 | pos=81 | targets=81 | pre_nms=538 | post_nms=154 | post_verify=154 | thr=0.203 | centerness=[-1.929, -0.356] | train_seen=1800
2026-06-08 17:17:27 | INFO | Epoch 1 | batch 950/1829 | loss=1.2429 | giou=0.5192 | bbox=0.0701 | ce=0.0672 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=619 | aux_mask=698 | pos=128 | targets=128 | pre_nms=619 | post_nms=264 | post_verify=264 | thr=0.216 | centerness=[-1.279, -0.258] | train_seen=1900
2026-06-08 17:19:46 | INFO | Epoch 1 | batch 1000/1829 | loss=1.5313 | giou=0.6396 | bbox=0.1041 | ce=0.0740 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=667 | aux_mask=770 | pos=132 | targets=132 | pre_nms=656 | post_nms=235 | post_verify=235 | thr=0.206 | centerness=[-1.284, -0.313] | train_seen=2000
2026-06-08 17:22:07 | INFO | Epoch 1 | batch 1050/1829 | loss=1.4172 | giou=0.5966 | bbox=0.0759 | ce=0.0740 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=660 | aux_mask=687 | pos=160 | targets=160 | pre_nms=660 | post_nms=301 | post_verify=301 | thr=0.212 | centerness=[-1.218, -0.214] | train_seen=2100
2026-06-08 17:24:29 | INFO | Epoch 1 | batch 1100/1829 | loss=1.1944 | giou=0.5021 | bbox=0.0971 | ce=0.0466 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=693 | aux_mask=817 | pos=58 | targets=58 | pre_nms=693 | post_nms=121 | post_verify=121 | thr=0.200 | centerness=[-1.778, -0.829] | train_seen=2200
2026-06-08 17:26:50 | INFO | Epoch 1 | batch 1150/1829 | loss=1.8648 | giou=0.7210 | bbox=0.0854 | ce=0.0940 | aux_giou=0.0622 | aux_bbox=0.0064 | aux_ce=0.0093 | mask=788 | aux_mask=832 | pos=359 | targets=359 | pre_nms=785 | post_nms=445 | post_verify=445 | thr=0.212 | centerness=[-1.290, -0.250] | train_seen=2300
2026-06-08 17:29:11 | INFO | Epoch 1 | batch 1200/1829 | loss=1.0760 | giou=0.4196 | bbox=0.0382 | ce=0.0308 | aux_giou=0.0660 | aux_bbox=0.0026 | aux_ce=0.0012 | mask=1497 | aux_mask=1148 | pos=37 | targets=37 | pre_nms=1497 | post_nms=391 | post_verify=391 | thr=0.200 | centerness=[-1.710, -0.531] | train_seen=2400
