2026-05-25 16:41:57 | INFO | Args: {'model_name': 'DGECO2FSCD', 'model_name_resumed': 'DGECO2FSCD', 'data_path': '/mnt/disk1/DINO-SAM-GECO2_3/data/FSC147_384_V2', 'dataset': 'fsc147', 'image_size': 1024, 'batch_size': 2, 'eval_batch_size': 2, 'val_batch_size': 2, 'test_batch_size': 2, 'num_workers': 8, 'max_train_batches': None, 'max_val_batches': None, 'max_test_batches': None, 'log_dir': '/mnt/disk1/DINO-SAM-GECO2_3/logs', 'run_name': None, 'log_interval': 50, 'model_path': '/mnt/disk1/DINO-SAM-GECO2_3/checkpoints', 'gpu': 0, 'max_grad_norm': 0.1, 'score_threshold': 0.3, 'score_ratio': 0.6, 'pre_nms_topk': 4096, 'max_detections': 4096, 'nms_iou': 0.5, 'dinov3_model_size': 'base', 'training': True, 'dinov3_pretrained_weights': '/mnt/disk1/DINO-SAM-GECO2_3/src/models/backbones/checkpoint/dinov3_vitb16_pretrain_lvd1689m-73cec8be.pth', 'backbone': 'DINOV3', 'reduction': 16, 'kernel_dim': 1, 'num_objects': 3, 'epochs': 200, 'resume_training': False, 'lr': 5e-05, 'backbone_lr': 5e-06, 'lr_drop': 10, 'weight_decay': 0.0001, 'tiling_p': 0.5, 'zero_shot': False, 'bbox_loss_coef': 1.0, 'giou_loss_coef': 2.0, 'ce_loss_coef': 1.0, 'aux_loss_coef': 0.5, 'cost_class': 2.0, 'cost_bbox': 1.0, 'cost_giou': 2.0, 'focal_alpha': 0.25, 'model_name_resume_from': 'base_3_shot_softmax1'}
2026-05-25 16:41:57 | INFO | Running pure single-GPU training on device: cuda:0
2026-05-25 17:07:02 | INFO | Epoch 1 | batch 700/1829 | loss=1.4589 | giou=0.6502 | bbox=0.0916 | ce=0.0669 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=481 | aux_mask=652 | pos=96 | targets=96 | preds=0 | centerness=[-3.091, -0.909] | train_seen=1400
2026-05-25 17:08:49 | INFO | Epoch 1 | batch 750/1829 | loss=1.1000 | giou=0.4863 | bbox=0.0919 | ce=0.0355 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=529 | aux_mask=473 | pos=68 | targets=68 | preds=0 | centerness=[-2.988, -1.134] | train_seen=1500
2026-05-25 17:10:36 | INFO | Epoch 1 | batch 800/1829 | loss=1.4213 | giou=0.6623 | bbox=0.0799 | ce=0.0167 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1451 | aux_mask=1530 | pos=44 | targets=44 | preds=1 | centerness=[-2.495, -0.787] | train_seen=1600
2026-05-25 17:12:22 | INFO | Epoch 1 | batch 850/1829 | loss=1.4307 | giou=0.6362 | bbox=0.1009 | ce=0.0575 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=597 | aux_mask=516 | pos=203 | targets=203 | preds=323 | centerness=[-2.175, -0.095] | train_seen=1700
2026-05-25 17:14:09 | INFO | Epoch 1 | batch 900/1829 | loss=1.4650 | giou=0.6638 | bbox=0.0656 | ce=0.0716 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=933 | aux_mask=679 | pos=312 | targets=312 | preds=551 | centerness=[-1.670, -0.167] | train_seen=1800
2026-05-25 17:15:56 | INFO | Epoch 1 | batch 950/1829 | loss=1.7058 | giou=0.7832 | bbox=0.0914 | ce=0.0480 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=844 | aux_mask=1228 | pos=228 | targets=228 | preds=339 | centerness=[-2.748, -0.363] | train_seen=1900
2026-05-25 17:17:43 | INFO | Epoch 1 | batch 1000/1829 | loss=1.1186 | giou=0.5126 | bbox=0.0634 | ce=0.0300 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1008 | aux_mask=1346 | pos=63 | targets=63 | preds=472 | centerness=[-2.209, -0.684] | train_seen=2000
2026-05-25 17:19:30 | INFO | Epoch 1 | batch 1050/1829 | loss=1.1288 | giou=0.4760 | bbox=0.1636 | ce=0.0132 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1100 | aux_mask=1392 | pos=32 | targets=32 | preds=29 | centerness=[-2.506, -0.138] | train_seen=2100
2026-05-25 17:21:16 | INFO | Epoch 1 | batch 1100/1829 | loss=1.3906 | giou=0.6226 | bbox=0.0788 | ce=0.0665 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=411 | aux_mask=767 | pos=160 | targets=160 | preds=316 | centerness=[-2.120, -0.164] | train_seen=2200
2026-05-25 17:23:03 | INFO | Epoch 1 | batch 1150/1829 | loss=1.9662 | giou=0.7487 | bbox=0.1868 | ce=0.1133 | aux_giou=0.0713 | aux_bbox=0.0113 | aux_ce=0.0148 | mask=1298 | aux_mask=1629 | pos=442 | targets=442 | preds=16 | centerness=[-3.402, -0.699] | train_seen=2300
