2026-05-25 16:21:45 | INFO | Args: {'model_name': 'DGECO2FSCD', 'model_name_resumed': 'DGECO2FSCD', 'data_path': '/mnt/disk1/DINO-SAM-GECO2_3/data/FSC147_384_V2', 'dataset': 'fsc147', 'image_size': 1024, 'batch_size': 2, 'eval_batch_size': 2, 'val_batch_size': 2, 'test_batch_size': 2, 'num_workers': 8, 'max_train_batches': None, 'max_val_batches': None, 'max_test_batches': None, 'log_dir': '/mnt/disk1/DINO-SAM-GECO2_3/logs', 'run_name': None, 'log_interval': 50, 'model_path': '/mnt/disk1/DINO-SAM-GECO2_3/checkpoints', 'gpu': 0, 'max_grad_norm': 0.1, 'score_threshold': 0.5, 'score_ratio': 0.6, 'pre_nms_topk': 4096, 'max_detections': 2048, 'nms_iou': 0.5, 'dinov3_model_size': 'base', 'training': True, 'dinov3_pretrained_weights': '/mnt/disk1/DINO-SAM-GECO2_3/src/models/backbones/checkpoint/dinov3_vitb16_pretrain_lvd1689m-73cec8be.pth', 'backbone': 'DINOV3', 'reduction': 16, 'kernel_dim': 1, 'num_objects': 3, 'epochs': 200, 'resume_training': False, 'lr': 5e-05, 'backbone_lr': 5e-06, 'lr_drop': 10, 'weight_decay': 0.0001, 'tiling_p': 0.5, 'zero_shot': False, 'bbox_loss_coef': 1.0, 'giou_loss_coef': 2.0, 'ce_loss_coef': 1.0, 'aux_loss_coef': 0.5, 'cost_class': 2.0, 'cost_bbox': 1.0, 'cost_giou': 2.0, 'focal_alpha': 0.25, 'model_name_resume_from': 'base_3_shot_softmax1'}
2026-05-25 16:21:45 | INFO | Running pure single-GPU training on device: cuda:0
2026-05-25 16:21:45 | INFO | Logs will be saved to: /mnt/disk1/DINO-SAM-GECO2_3/logs/DGECO2FSCD_20260525_162144
2026-05-25 16:21:46 | INFO | Trainable parameter groups: non_backbone=54677258, dinov3_adapter=2561296, frozen_dinov3=85648128
2026-05-25 16:21:46 | INFO | AMP mixed precision enabled: False
2026-05-25 16:21:47 | INFO | Dataloader batch sizes: train=2, val=2, test=2
2026-05-25 16:23:33 | INFO | Epoch 1 | batch 50/1829 | loss=1.6794 | giou=0.7116 | bbox=0.2062 | ce=0.0499 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=932 | aux_mask=1044 | pos=200 | targets=200 | preds=0 | centerness=[-1.918, -0.084] | train_seen=100
2026-05-25 16:25:20 | INFO | Epoch 1 | batch 100/1829 | loss=2.0233 | giou=0.7075 | bbox=0.3956 | ce=0.0760 | aux_giou=0.0327 | aux_bbox=0.0173 | aux_ce=0.0539 | mask=1751 | aux_mask=1780 | pos=1505 | targets=1096 | preds=0 | centerness=[-2.525, -0.454] | train_seen=200
2026-05-25 16:27:07 | INFO | Epoch 1 | batch 150/1829 | loss=1.6443 | giou=0.7283 | bbox=0.1643 | ce=0.0234 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1015 | aux_mask=465 | pos=45 | targets=45 | preds=0 | centerness=[-1.830, -0.387] | train_seen=300
2026-05-25 16:28:54 | INFO | Epoch 1 | batch 200/1829 | loss=1.2802 | giou=0.5160 | bbox=0.1366 | ce=0.1116 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=846 | aux_mask=872 | pos=438 | targets=438 | preds=0 | centerness=[-2.034, -0.511] | train_seen=400
2026-05-25 16:30:43 | INFO | Epoch 1 | batch 250/1829 | loss=1.5308 | giou=0.6703 | bbox=0.1160 | ce=0.0741 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=931 | aux_mask=1078 | pos=174 | targets=174 | preds=0 | centerness=[-3.197, -0.694] | train_seen=500
2026-05-25 16:32:30 | INFO | Epoch 1 | batch 300/1829 | loss=1.9132 | giou=0.7539 | bbox=0.1851 | ce=0.0610 | aux_giou=0.0551 | aux_bbox=0.0196 | aux_ce=0.0296 | mask=766 | aux_mask=683 | pos=436 | targets=436 | preds=0 | centerness=[-1.750, -0.172] | train_seen=600
2026-05-25 16:34:17 | INFO | Epoch 1 | batch 350/1829 | loss=2.0222 | giou=0.9132 | bbox=0.1600 | ce=0.0358 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1271 | aux_mask=1223 | pos=144 | targets=144 | preds=0 | centerness=[-1.951, -0.773] | train_seen=700
2026-05-25 16:36:04 | INFO | Epoch 1 | batch 400/1829 | loss=1.3469 | giou=0.5743 | bbox=0.0759 | ce=0.1225 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=775 | aux_mask=684 | pos=457 | targets=457 | preds=0 | centerness=[-2.106, -0.748] | train_seen=800
2026-05-25 16:37:50 | INFO | Epoch 1 | batch 450/1829 | loss=1.6702 | giou=0.7602 | bbox=0.1182 | ce=0.0315 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=1508 | aux_mask=1668 | pos=152 | targets=152 | preds=0 | centerness=[-1.769, -0.633] | train_seen=900
2026-05-25 16:39:38 | INFO | Epoch 1 | batch 500/1829 | loss=1.5548 | giou=0.6732 | bbox=0.1449 | ce=0.0634 | aux_giou=0.0000 | aux_bbox=0.0000 | aux_ce=0.0000 | mask=751 | aux_mask=620 | pos=120 | targets=120 | preds=0 | centerness=[-2.527, -0.598] | train_seen=1000
